oid,src,dst,weight
1,0,1,1.0
1,0,2,1.0
1,0,3,1.0
1,1,0,1.0
1,1,4,1.0
1,2,0,1.0
1,2,7,1.0
1,3,0,1.0
1,3,10,1.0
1,4,1,1.0
1,4,13,1.0
1,7,2,1.0
1,7,16,1.0
1,10,3,1.0
1,10,19,1.0
1,13,4,1.0
1,13,22,1.0
1,16,7,1.0
1,16,25,1.0
1,19,10,1.0
1,19,28,1.0
1,22,13,1.0
1,25,16,1.0
1,28,19,1.0
2,0,1,1.0
2,0,2,1.0
2,0,3,1.0
2,1,0,1.0
2,1,4,1.0
2,1,5,1.0
2,2,0,1.0
2,2,7,1.0
2,2,8,1.0
2,3,0,1.0
2,3,10,1.0
2,4,1,1.0
2,4,13,1.0
2,5,1,1.0
2,5,14,1.0
2,7,2,1.0
2,7,16,1.0
2,8,2,1.0
2,8,17,1.0
2,10,3,1.0
2,10,19,1.5
2,10,20,1.5
2,13,4,1.0
2,13,22,1.0
2,14,5,1.0
2,14,22,1.0
2,16,7,1.0
2,16,25,1.0
2,17,8,1.0
2,17,25,1.0
2,19,10,1.5
2,19,28,1.5
2,20,10,1.5
2,20,29,1.5
2,22,13,1.0
2,22,14,1.0
2,25,16,1.0
2,25,17,1.0
2,28,19,1.5
2,28,30,1.5
2,29,20,1.5
2,29,30,1.5
2,30,28,1.5
2,30,29,1.5
3,0,1,1.0
3,0,2,1.0
3,0,3,1.0
3,1,0,1.0
3,1,4,1.0
3,1,5,1.0
3,2,0,1.0
3,2,7,1.0
3,2,8,1.0
3,3,0,1.0
3,3,10,1.0
3,3,11,1.0
3,4,1,1.0
3,4,13,1.0
3,5,1,1.0
3,5,14,1.0
3,7,2,1.0
3,7,16,1.0
3,8,2,1.0
3,8,17,1.0
3,10,3,1.0
3,10,19,1.0
3,11,3,1.0
3,11,21,1.0
3,13,4,1.0
3,13,22,1.0
3,14,5,1.0
3,14,22,1.0
3,16,7,1.0
3,16,25,1.0
3,17,8,1.0
3,17,25,1.0
3,19,10,1.0
3,19,28,1.0
3,21,11,1.0
3,21,28,1.0
3,22,13,1.0
3,22,14,1.0
3,25,16,1.0
3,25,17,1.0
3,28,19,1.0
3,28,21,1.0
4,0,1,1.0
4,0,2,1.0
4,0,3,1.0
4,1,0,1.0
4,1,4,1.0
4,1,5,1.0
4,2,0,1.0
4,2,7,1.0
4,2,8,1.0
4,3,0,1.0
4,3,10,1.0
4,3,11,1.0
4,4,1,1.0
4,4,13,1.0
4,5,1,1.0
4,5,14,1.0
4,7,2,1.0
4,7,16,1.0
4,8,2,1.0
4,8,17,1.0
4,10,3,1.0
4,11,3,1.0
4,13,4,1.0
4,13,22,1.0
4,14,5,1.0
4,14,22,1.0
4,16,7,1.0
4,16,25,1.0
4,17,8,1.0
4,17,25,1.0
4,22,13,1.0
4,22,14,1.0
4,25,16,1.0
4,25,17,1.0
5,0,1,1.0
5,0,2,1.0
5,0,3,1.0
5,1,0,1.0
5,1,4,1.0
5,1,5,1.0
5,2,0,1.0
5,2,7,1.0
5,2,8,1.0
5,3,0,1.0
5,3,10,1.0
5,3,11,1.0
5,4,1,1.0
5,4,13,1.0
5,5,1,1.0
5,5,14,1.0
5,7,2,1.0
5,8,2,1.0
5,10,3,1.0
5,11,3,1.0
5,13,4,1.0
5,13,22,1.0
5,14,5,1.0
5,14,22,1.0
5,22,13,1.0
5,22,14,1.0
6,0,1,1.0
6,0,2,1.0
6,0,3,1.0
6,1,0,1.0
6,1,4,1.0
6,1,5,1.0
6,2,0,1.0
6,2,7,1.0
6,2,8,1.0
6,3,0,1.0
6,3,10,1.0
6,3,11,1.0
6,4,1,1.0
6,5,1,1.0
6,7,2,1.0
6,8,2,1.0
6,10,3,1.0
6,11,3,1.0
7,0,1,1.0
7,0,2,1.0
7,0,3,1.0
7,1,0,1.0
7,1,4,1.0
7,1,5,1.0
7,2,0,1.0
7,2,7,1.0
7,2,8,1.0
7,3,0,1.0
7,3,10,1.0
7,3,11,1.0
7,4,1,1.0
7,4,13,1.0
7,5,1,1.0
7,7,2,1.0
7,7,16,1.0
7,8,2,1.0
7,10,3,1.0
7,10,19,1.0
7,11,3,1.0
7,13,4,1.0
7,16,7,1.0
7,19,10,1.0
8,0,1,1.0
8,0,2,1.0
8,0,3,1.0
8,1,0,1.0
8,1,4,1.0
8,1,5,1.0
8,1,6,1.0
8,2,0,1.0
8,2,7,1.0
8,2,8,1.0
8,3,0,1.0
8,3,10,1.0
8,3,11,1.0
8,4,1,1.0
8,4,13,1.0
8,5,1,1.0
8,5,14,1.0
8,6,1,1.0
8,6,15,1.0
8,7,2,1.0
8,7,16,1.0
8,8,2,1.0
8,8,17,1.0
8,10,3,1.0
8,10,19,1.0
8,11,3,1.0
8,11,21,1.0
8,13,4,1.0
8,13,22,1.0
8,13,23,1.0
8,14,5,1.0
8,14,23,1.0
8,14,24,1.0
8,15,6,1.0
8,15,22,1.0
8,15,24,1.0
8,16,7,1.0
8,16,25,1.0
8,17,8,1.0
8,17,25,1.0
8,19,10,1.0
8,19,28,1.0
8,21,11,1.0
8,21,28,1.0
8,22,13,1.0
8,22,15,1.0
8,23,13,1.0
8,23,14,1.0
8,24,14,1.0
8,24,15,1.0
8,25,16,1.0
8,25,17,1.0
8,28,19,1.0
8,28,21,1.0
9,0,1,1.0
9,0,2,1.0
9,0,3,1.0
9,1,0,1.0
9,1,4,1.0
9,1,5,1.0
9,1,6,1.0
9,2,0,1.0
9,2,7,1.0
9,2,8,1.0
9,3,0,1.0
9,3,10,1.0
9,3,11,1.0
9,4,1,1.0
9,5,1,1.0
9,6,1,1.0
9,7,2,1.0
9,7,16,1.0
9,8,2,1.0
9,8,17,1.0
9,10,3,1.0
9,10,19,1.0
9,11,3,1.0
9,11,21,1.0
9,16,7,1.0
9,16,25,1.0
9,17,8,1.0
9,17,25,1.0
9,19,10,1.0
9,19,28,1.0
9,21,11,1.0
9,21,28,1.0
9,25,16,1.0
9,25,17,1.0
9,28,19,1.0
9,28,21,1.0
10,0,1,1.0
10,0,2,1.0
10,0,3,1.0
10,1,0,1.0
10,1,4,1.0
10,1,5,1.0
10,1,6,1.0
10,2,0,1.0
10,2,7,1.0
10,2,8,1.0
10,3,0,1.0
10,3,10,1.0
10,3,11,1.0
10,4,1,1.0
10,5,1,1.0
10,6,1,1.0
10,7,2,1.0
10,8,2,1.0
10,10,3,1.0
10,11,3,1.0
11,0,1,1.0
11,0,2,1.0
11,0,3,1.0
11,1,0,1.0
11,1,4,1.0
11,1,5,1.0
11,1,6,1.0
11,2,0,1.0
11,2,7,1.0
11,2,8,1.0
11,2,9,1.0
11,3,0,1.0
11,3,10,1.0
11,4,1,1.0
11,4,13,1.0
11,5,1,1.0
11,5,14,1.0
11,6,1,1.0
11,6,15,1.0
11,7,2,1.0
11,7,16,1.0
11,8,2,1.0
11,8,17,1.0
11,9,2,1.0
11,9,18,1.0
11,10,3,1.0
11,13,4,1.0
11,13,22,1.0
11,13,23,1.0
11,14,5,1.0
11,14,22,1.0
11,14,24,1.0
11,15,6,1.0
11,15,23,1.0
11,15,24,1.0
11,16,7,1.0
11,16,25,1.0
11,16,26,1.0
11,17,8,1.0
11,17,25,1.0
11,17,27,1.0
11,18,9,1.0
11,18,26,1.0
11,18,27,1.0
11,22,13,1.0
