oid,id,boolean
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,0
1,7,1
1,8,0
1,9,0
1,10,1
1,11,0
1,12,0
1,13,1
1,14,0
1,15,0
1,16,1
1,17,0
1,18,0
1,19,1
1,20,0
1,21,0
1,22,1
1,23,0
1,24,0
1,25,1
1,26,0
1,27,0
1,28,1
1,29,0
1,30,0
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,0
2,7,1
2,8,1
2,9,0
2,10,1
2,11,0
2,12,0
2,13,1
2,14,1
2,15,0
2,16,1
2,17,1
2,18,0
2,19,1
2,20,1
2,21,0
2,22,1
2,23,0
2,24,0
2,25,1
2,26,0
2,27,0
2,28,1
2,29,1
2,30,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,0
3,7,1
3,8,1
3,9,0
3,10,1
3,11,1
3,12,0
3,13,1
3,14,1
3,15,0
3,16,1
3,17,1
3,18,0
3,19,1
3,20,0
3,21,1
3,22,1
3,23,0
3,24,0
3,25,1
3,26,0
3,27,0
3,28,1
3,29,0
3,30,0
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,0
4,7,1
4,8,1
4,9,0
4,10,1
4,11,1
4,12,0
4,13,1
4,14,1
4,15,0
4,16,1
4,17,1
4,18,0
4,19,0
4,20,0
4,21,0
4,22,1
4,23,0
4,24,0
4,25,1
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,0
5,7,1
5,8,1
5,9,0
5,10,1
5,11,1
5,12,0
5,13,1
5,14,1
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,1
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
6,0,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,0
6,7,1
6,8,1
6,9,0
6,10,1
6,11,1
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
7,0,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,0
7,7,1
7,8,1
7,9,0
7,10,1
7,11,1
7,12,0
7,13,1
7,14,0
7,15,0
7,16,1
7,17,0
7,18,0
7,19,1
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
8,0,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,0
8,10,1
8,11,1
8,12,0
8,13,1
8,14,1
8,15,1
8,16,1
8,17,1
8,18,0
8,19,1
8,20,0
8,21,1
8,22,1
8,23,1
8,24,1
8,25,1
8,26,0
8,27,0
8,28,1
8,29,0
8,30,0
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,0
9,10,1
9,11,1
9,12,0
9,13,0
9,14,0
9,15,0
9,16,1
9,17,1
9,18,0
9,19,1
9,20,0
9,21,1
9,22,0
9,23,0
9,24,0
9,25,1
9,26,0
9,27,0
9,28,1
9,29,0
9,30,0
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,0
10,10,1
10,11,1
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
11,0,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
11,11,0
11,12,0
11,13,1
11,14,1
11,15,1
11,16,1
11,17,1
11,18,1
11,19,0
11,20,0
11,21,0
11,22,1
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,0
11,29,0
11,30,0
12,0,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,1
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,1
12,20,0
12,21,1
12,22,0
12,23,0
12,24,0
12,25,0
12,26,0
12,27,0
12,28,1
12,29,0
12,30,0
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
13,25,0
13,26,0
13,27,0
13,28,0
13,29,0
13,30,0
14,0,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
14,22,0
14,23,0
14,24,0
14,25,0
14,26,0
14,27,0
14,28,0
14,29,0
14,30,0
15,0,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,1
15,11,0
15,12,0
15,13,0
15,14,0
15,15,0
15,16,0
15,17,0
15,18,0
15,19,1
15,20,1
15,21,0
15,22,0
15,23,0
15,24,0
15,25,0
15,26,0
15,27,0
15,28,1
15,29,1
15,30,1
16,0,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,11,0
16,12,0
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,1
16,19,1
16,20,1
16,21,0
16,22,1
16,23,1
16,24,1
16,25,1
16,26,1
16,27,1
16,28,1
16,29,1
16,30,1
17,0,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
17,11,1
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
17,17,1
17,18,1
17,19,0
17,20,0
17,21,0
17,22,1
17,23,1
17,24,1
17,25,1
17,26,1
17,27,1
17,28,0
17,29,0
17,30,0
